t_index term df
666 52nd 1
667 53 22
668 5347 1
669 539947 1
670 54 39
671 54000 1
672 543000 2
673 5446 7
674 54th 1
675 54yearold 7
676 55 26
677 550 2
678 55degre 1
679 55minut 2
680 55year 8
681 55yearold 4
682 56 15
683 56000ton 1
684 565 1
685 56yearold 7
686 57 13
687 57yearold 1
688 58 21
689 580 1
690 58000 11
691 584foot 1
692 58year 1
693 59 16
694 59000 1
695 5958 1
696 596 2
697 5foot2 5
698 5foot8inch 1
699 5footlong 1
700 5th 24
701 5yearold 6
702 6 52
703 60 72
704 600 18
705 6000 9
706 60000 3
707 600000 3
708 6000mile 1
709 600acr 1
710 600th 1
711 60189 1
712 6072 3
713 609 2
714 60foot 1
715 60mile 1
716 60squaremil 1
717 61 37
718 615 1
719 6164 1
720 6181 1
721 62 65
722 620 1
723 6200 1
724 6262 1
725 627 1
726 62yearold 11
727 63 46
728 630 3
729 64 58
730 6400 2
731 6444 1
732 645 2
733 646 5
734 648 1
735 64yearold 3
736 65 26
737 650 2
738 65000 1
739 651 2
740 653 1
741 66 16
742 660 1
743 66yearold 4
744 67 16
745 672 1
746 675 3
747 677 1
748 67member 1
749 67yearold 1
750 68 5
751 680 1
752 682 1
753 683 2
754 683rd 1
755 687 1
756 68yearold 3
757 69 7
758 69magnitud 1
759 6all 1
760 6love 1
761 6th 1
762 7 51
763 70 26
764 700 9
765 7000 16
766 70000 5
767 700000member 1
768 701 1
769 70200 1
770 7035190092 1
771 7036845528 1
772 70yearold 1
773 71 1
774 710 2
775 711 2
776 7162 3
777 72 5
778 720 1
779 726 2
780 728 1
781 72yearold 1
782 730 3
783 733 3
784 74 6
785 740 1
786 7400 1
787 745 1
788 747 1
789 75 36
790 750 3
791 7500 1
792 750000 2
793 752 1
794 7555022 1
795 75horsepow 1
796 75yearold 3
797 76 42
798 7600 3
799 76000 1
800 762 1
801 76magnitud 9
802 77 4
803 7729 1
804 776 1
805 777200 1
806 7777 1
807 78 6
808 780 1
809 780000 1
810 78dai 4
811 79 38
812 79magnitud 5
813 79yearold 2
814 7foot 1
815 7th 2
816 7yearold 1
817 8 65
818 80 23
819 800 9
820 8000 12
821 80000 3
822 800000 2
823 8000ton 1
824 8003683202 1
825 8018 1
826 8059644767 1
827 80yearold 2
828 81 3
829 81yearold 3
830 83 3
831 830 3
832 8300 5
833 8300ton 1
834 832 1
835 8320 1
836 84 1
837 845 3
838 846 2
839 85 5
840 850 6
841 85260 1
842 85magnitud 4
843 86 11
844 8600ton 8
845 8655 1
846 86th 2
847 87 1
848 88 1
849 8883469867 1
850 8monthold 1
851 8seed 1
852 8th 5
853 8yearold 2
854 9 33
855 90 28
856 900 1
857 9000 2
858 90069 1
859 903 1
860 90degre 1
861 91 1
862 91000 1
863 9100ton 2
864 911 5
865 918 1
866 92 1
867 925000 1
868 92nd 1
869 93 3
870 930 9
871 93117 1
872 93degre 2
873 94 1
874 95 6
875 95degre 1
876 96 5
877 97 8
878 97yearold 1
879 98 2
880 98133 1
881 98440 2
882 98481 1
883 989 1
884 99 8
885 99dai 1
886 99year 1
887 99yearold 1
888 9point 1
889 9th 3
890 9yearold 1
891 aan 1
892 aaron 2
893 ab 1
894 aback 1
895 abahd 1
896 abandon 37
897 abat 1
898 abc 49
899 abccom 1
900 abcnewscom 3
901 abdallah 2
902 abdel 3
903 abdomin 2
904 abduct 2
905 abdul 5
906 abdulkarim 11
907 abdullah 40
908 abdurahman 1
909 aberr 1
910 abhad 1
911 abhiyan 1
912 abhorr 2
913 abid 7
914 abidjan 36
915 abijan 1
916 abil 32
917 abl 105
918 ablaz 3
919 abnorm 1
920 aboard 93
921 abobo 3
922 abolish 4
923 abomin 1
924 abort 7
925 abou 1
926 abound 4
927 abovo 1
928 abraham 10
929 abreast 1
930 abrego 1
931 abroad 52
932 abrog 2
933 abrupt 1
934 abruptli 4
935 abscam 1
936 absenc 6
937 absent 4
938 absente 7
939 absentia 3
940 absolut 43
941 absorb 9
942 abstain 1
943 abstent 1
944 absurd 2
945 abu 7
946 abund 2
947 abus 28
948 abuseofpow 1
949 abuzaakouk 1
950 abyan 1
951 abyssinian 1
952 ac 27
953 academ 6
954 academi 4
955 academia 1
956 acced 1
957 acceler 4
958 accent 2
959 accentu 2
960 accept 124
961 access 41
962 accid 32
963 accident 3
964 accommod 11
965 accompani 33
966 accomplic 5
967 accomplish 10
968 accord 145
969 accordingli 1
970 accordion 1
971 account 125
972 accredit 1
973 accumul 2
974 accur 14
975 accuraci 1
976 accus 131
977 accustom 2
978 acerb 2
979 achiev 31
980 acid 2
981 acknowledg 55
